kind,table,name,data_type,format,hidden_or_inactive,source_or_target,dependencies_or_definition,status
MEASURE,1-Measure,TKT-C-B3,measure,0.0000000000,false,ALL\Máquinas\Beatty 3,D-P-B3; T-P-M-B3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-B4,measure,0,false,ALL\Máquinas\Beatty 4,P-FH-F,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-B4,measure,0,false,ALL\Máquinas\Beatty 4,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-B4,measure,,false,ALL\Máquinas\Beatty 4,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-B4,measure,0,false,ALL\Máquinas\Beatty 4,D-P-B4; P-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-B4,measure,,false,ALL\Máquinas\Beatty 4,Dia_Min; F-H; P-P-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-B4,measure,0,false,ALL\Máquinas\Beatty 4,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-B4,measure,,false,ALL\Máquinas\Beatty 4,T-D-L-B4; T-P-M-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-B4,measure,0.0000000000,false,ALL\Máquinas\Beatty 4,D-P-B4; T-P-M-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-B4,measure,0.0000000000,false,ALL\Máquinas\Beatty 4,P-B4; T-D-L-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-B1,measure,0.0000000000,false,ALL\Máquinas\Beatty 1,P-R-B1; T-R-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-B2,measure,0.0000000000,false,ALL\Máquinas\Beatty 2,P-R-B2; T-R-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-B3,measure,0.0000000000,false,ALL\Máquinas\Beatty 3,P-R-B3; T-R-B3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-B4,measure,0.0000000000,false,ALL\Máquinas\Beatty 4,P-R-B4; T-R-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-P.A,measure,0,false,ALL\Máquinas\P.A,P-FH-F; P-SCA-F,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P.A,measure,0,false,ALL\Máquinas\P.A,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-P.A,measure,,false,ALL\Máquinas\P.A,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-P.A,measure,,false,ALL\Máquinas\P.A,D-P-P.A; P-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-P.A,measure,0.0000000000,false,ALL\Máquinas\P.A,P-P.A; T-D-L-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-P.A,measure,,false,ALL\Máquinas\P.A,Dia_Min; F-H; P-P-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-P.A,measure,0,false,ALL\Máquinas\P.A,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-P.A,measure,0.0000000000,false,ALL\Máquinas\P.A,D-P-P.A; T-P-M-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-P.A,measure,,false,ALL\Máquinas\P.A,T-D-L-P.A; T-P-M-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-P.A,measure,0.0000000000,false,ALL\Máquinas\P.A,P-R-P.A; T-R-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-RF3,measure,0,false,ALL\Máquinas\0.Roll Former 3,Date; T-C-RF3; TKT-C-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-B1,measure,0,false,ALL\Máquinas\Beatty 1,Date; T-C-B1; TKT-C-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-B2,measure,0,false,ALL\Máquinas\Beatty 2,Date; T-C-B2; TKT-C-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-B3,measure,0,false,ALL\Máquinas\Beatty 3,Date; T-C-B3; TKT-C-B3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-B4,measure,0,false,ALL\Máquinas\Beatty 4,Date; T-C-B4; TKT-C-B4,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-P.A,measure,0,false,ALL\Máquinas\P.A,Date; T-C-P.A; TKT-C-P.A,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-LPP2,measure,,false,ALL\Máquinas\Pintura,P-T-D,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-LPP2,measure,,false,ALL\Máquinas\Pintura,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-LPP2,measure,0,false,ALL\Máquinas\Pintura,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-LPP2,measure,,false,ALL\Máquinas\Pintura,D-P-LPP2; P-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-LPP2,measure,,false,ALL\Máquinas\Pintura,Dia_Min; F-H; P-P-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-LPP2,measure,0,false,ALL\Máquinas\Pintura,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-LPP2,measure,,false,ALL\Máquinas\Pintura,T-D-L-LPP2; T-P-M-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-LPP2,measure,0.0000000000,false,ALL\Máquinas\Pintura,D-P-LPP2; T-P-M-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-LPP2,measure,0.0000000000,false,ALL\Máquinas\Pintura,P-LPP2; T-D-L-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-LPP2,measure,0,false,ALL\Máquinas\Pintura,Date; T-C-LPP2; TKT-C-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-LPP2,measure,,false,ALL\Máquinas\Pintura,P-R-LPP2; T-R-LPP2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-STJ,measure,,false,ALL\Máquinas\Stenhoj,P-DAF-S; P-FH-F; P-SCA-F,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-STJ,measure,,false,ALL\Máquinas\Stenhoj,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-STJ,measure,0,false,ALL\Máquinas\Stenhoj,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-STJ,measure,,false,ALL\Máquinas\Stenhoj,D-P-STJ; P-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-STJ,measure,,false,ALL\Máquinas\Stenhoj,Dia_Min; F-H; P-P-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-STJ,measure,0,false,ALL\Máquinas\Stenhoj,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-STJ,measure,0.0000000000,false,ALL\Máquinas\Stenhoj,P-STJ; T-D-L-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-STJ,measure,0.0000000000,false,ALL\Máquinas\Stenhoj,D-P-STJ; T-P-M-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-STJ,measure,,false,ALL\Máquinas\Stenhoj,T-D-L-STJ; T-P-M-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-STJ,measure,0,false,ALL\Máquinas\Stenhoj,Date; T-C-STJ; TKT-C-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-STJ,measure,,false,ALL\Máquinas\Stenhoj,P-R-STJ; T-R-STJ,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-C-C,measure,0,false,ALL\8.E-Kanban,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-SCA-F,measure,,false,ALL\8.E-Kanban,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-I-FH,measure,0,false,ALL\8.E-Kanban,CHASSIS_NUMBER,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-FH-F,measure,,false,ALL\8.E-Kanban,T-I-FH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-I-VM,measure,0,false,ALL\8.E-Kanban,CHASSIS_NUMBER,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-VM-F,measure,,false,ALL\8.E-Kanban,T-I-VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-DAF-S,measure,,false,ALL\8.E-Kanban,Pares Slitter,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-T-D,measure,0,false,ALL\9.Estoque,P-DAF-S; P-FH-F; P-SCA-F; P-VM-F,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-T-E,measure,0,false,ALL\9.Estoque,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-P-M,measure,0.00000000,false,ALL\9.Estoque,ITEM(m); RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-M-P,measure,0.00000,false,ALL\9.Estoque,C-P-M; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-T,measure,0,false,ALL\9.Estoque,RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Scania,measure,,false,ALL\Scania,Pares_long_ref; Pares_long_simples; Pares_reforço,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares_long_ref,measure,,false,ALL\Scania,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares_long_simples,measure,,false,ALL\Scania,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares_reforço,measure,,false,ALL\Scania,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,FH,measure,,false,ALL\FH,Total Itens FH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Total Itens FH,measure,0,false,ALL\FH,CHASSIS_NUMBER,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,VM,measure,,false,ALL\VM,Total Itens VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Total Itens VM,measure,0,false,ALL\VM,CHASSIS_NUMBER,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,DAF,measure,,false,ALL\DAF,Pares Slitter; Total peças,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Total peças,measure,,false,ALL\DAF,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-P-M-SCA,measure,0.0,false,ALL\0.0.MIFC\SCANIA,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-P-M-FH,measure,0.0,false,ALL\0.0.MIFC\FH,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-P-M-VM,measure,0.0,false,ALL\0.0.MIFC\VM,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-P-M-DAF,measure,0.0,false,ALL\0.0.MIFC\DAF,FINISH_LENGTH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-M-P-SCA,measure,,false,ALL\0.0.MIFC\SCANIA\Estoque,C-P-M-SCA; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-M-P-FH,measure,,false,ALL\0.0.MIFC\FH\Estoque,C-P-M-FH; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-M-P-VM,measure,,false,ALL\0.0.MIFC\VM\Estoque,C-P-M-VM; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-M-P-DAF,measure,,false,ALL\0.0.MIFC\DAF\Estoque,C-P-M-DAF; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-P-M-TOTAL,measure,0.0,false,ALL\0.0.MIFC\ALL,FINISH_LENGTH; Local,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-M-P-S,measure,0,false,ALL\0.0.MIFC\ALL\Estoque,C-P-M-TOTAL; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,C-M-FL,measure,0,false,ALL\0.0.MIFC\Logística,FINISH_LENGTH; LOCAL; Pares Slitter,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-E-FL,measure,0%;-0%;0%,false,ALL\0.0.MIFC\Logística,C-M-FL; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Status_Slitter,measure,,false,ALL\0.0.MIFC\Logística,C-M-FL; C-T-E,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-P-ShipDate,measure,0,false,ALL\0.0.MIFC\Logística,FINISH_LENGTH; LOCAL; Pares Slitter,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-S-E,measure,0,false,ALL\0.0.MIFC\Logística,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-G-SCA,measure,,false,ALL\0.0.MIFC\Golpes,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-N-P-B-M-SCA,measure,,false,ALL\0.0.MIFC\Golpes,Q-G-SCA,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-N-P-B-H-SCA,measure,,false,ALL\0.0.MIFC\Golpes,Q-G-SCA,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-G-VDB,measure,,false,ALL\0.0.MIFC\Golpes,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-N-P-B-M-VDB,measure,,false,ALL\0.0.MIFC\Golpes,Q-G-VDB,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-N-P-B-H-VDB,measure,,false,ALL\0.0.MIFC\Golpes,Q-G-VDB,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-CNC,measure,0,false,ALL\Máquinas\CNC Plasma,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-CNC,measure,,false,ALL\Máquinas\CNC Plasma,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-CNC,measure,,false,ALL\0.0.MIFC\ALL\Demanda,P-DAF-S,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-CNC,measure,,false,ALL\Máquinas\CNC Plasma,D-P-CNC; P-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-CNC,measure,,false,ALL\Máquinas\CNC Plasma,Dia_Min; F-H; P-P-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-CNC,measure,,false,ALL\Máquinas\CNC Plasma,P-CNC; T-D-L-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-CNC,measure,0,false,ALL\Máquinas\CNC Plasma,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-CNC,measure,,false,ALL\Máquinas\CNC Plasma,T-D-L-CNC; T-P-M-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-CNC,measure,,false,ALL\Máquinas\CNC Plasma,P-R-CNC; T-R-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-CNC,measure,,false,ALL\Máquinas\CNC Plasma,D-P-CNC; T-P-M-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,R-C-CNC,measure,0,false,ALL\Máquinas\CNC Plasma,Date; T-C-CNC; TKT-C-CNC,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-B,measure,0,false,ALL\0.0.MIFC\ALL\Tempo,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-T,measure,,false,ALL\0.0.MIFC\ALL\Tempo,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-FH,measure,,false,ALL\0.0.MIFC\Logística,Date; E-M-P-S; FH; Q-D-E-FH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-SCA,measure,,false,ALL\0.0.MIFC\Logística,E-M-P-S; Q-D-E-SCA; Scania,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-E-SCA,measure,0,false,ALL\0.0.MIFC\Logística,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-E-FH,measure,0,false,ALL\0.0.MIFC\Logística,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-E-VM,measure,0,false,ALL\0.0.MIFC\Logística,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-VM,measure,,false,ALL\0.0.MIFC\Logística,E-M-P-S; Q-D-E-VM; VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-E-DAF,measure,0,false,ALL\0.0.MIFC\Logística,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Q-D-DAF,measure,,false,ALL\0.0.MIFC\Logística,DAF; E-M-P-S; Q-D-E-DAF,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação pintura,measure,0,false,ALL\0.0.MIFC\Qualidade,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação Furação,measure,,false,ALL\0.0.MIFC\Qualidade,qtd_segregação f1; qtd_segregação f2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação f1,measure,0,false,ALL\0.0.MIFC\Qualidade,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação f2,measure,0,false,ALL\0.0.MIFC\Qualidade,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação f3,measure,0,false,ALL\0.0.MIFC\Qualidade,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação f4,measure,0,false,ALL\0.0.MIFC\Qualidade,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,qtd_segregação see,measure,0,false,ALL\0.0.MIFC\Qualidade,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-M-FH,measure,,false,ALL\0.0.MIFC\FH\Produção,FH; Q-D-E-FH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-M-SCA,measure,,false,ALL\0.0.MIFC\SCANIA\Produção,Q-D-E-SCA; Scania,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-M-VM,measure,,false,ALL\0.0.MIFC\VM\Produção,Q-D-E-VM; VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-M-DAF,measure,,false,ALL\0.0.MIFC\DAF\Produção,DAF; Q-D-E-DAF,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares Kanban BEATTYS sequenciado,measure,,false,ALL\0.0.MIFC\Logística,DAF; FH; Pares SCA_quadro; Pares Slitter; VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares SCA_quadro,measure,,false,ALL\0.0.MIFC\Logística,Pares_long_ref; Pares_long_simples; Pares_reforço,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares Kanban Beattys total,measure,,false,ALL\0.0.MIFC\Logística,Pares Kanban BEATTYS sequenciado; Pares RF2; Pares_base,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares RF2,measure,,false,ALL\Máquinas\Roll Former 2,Rail id,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,Pares_base,measure,,false,ALL\0.0.MIFC\Logística,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-B-VM,measure,,false,ALL\0.0.MIFC\VM\Estoque,VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-E-VM-B,measure,0.000,false,ALL\0.0.MIFC\VM\Estoque,E-B-VM; P-M-VM,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-B-SCA,measure,,false,ALL\0.0.MIFC\SCANIA\Estoque,Scania,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-E-SCA-B,measure,0.000,false,ALL\0.0.MIFC\SCANIA\Estoque,E-B-SCA; P-M-SCA,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-B-FH,measure,0,false,ALL\0.0.MIFC\FH\Estoque,FH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-E-FH-B,measure,0.000,false,ALL\0.0.MIFC\FH\Estoque,E-B-FH; P-M-FH,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,E-B-DAF,measure,0,false,ALL\0.0.MIFC\DAF\Estoque,DAF_REV2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,DAF_REV2,measure,,false,ALL\0.0.MIFC\Logística,Total peças,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-E-DAF-B,measure,0.000,false,ALL\0.0.MIFC\DAF\Estoque,E-B-DAF; P-M-DAF,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-B1,measure,0.000,false,ALL\0.0.MIFC\ALL\Tempo,D-P-B1; T-P-M-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-B2,measure,,false,ALL\0.0.MIFC\ALL\Tempo,D-P-B2; T-P-M-B2,INVENTARIADO — validação funcional nos gates
